,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
pf[80],0.5559765027050025,0.00048126026867751156,0.021169982248731588,0.5183627432712729,0.5413318656754659,0.5553872144466967,0.5692065793927906,0.6021818842323703,1935.0,1.0008179170426743
pf[81],1.0883935551513018,0.013389921587663157,0.15499954843993866,0.9548313076441567,1.015769764422968,1.0557197778287613,1.1066288114365643,1.5208600565518022,134.0,1.0289235266991648
pf[82],0.9791566377367981,0.0012257542145321463,0.046254968529740516,0.9008207703054429,0.9467595016600425,0.9759612176697806,1.0066321194837378,1.0799357492877233,1424.0,1.0015875808215062
pf[83],0.4315829875823185,0.00038881441820143,0.014983234895207208,0.4028706318400781,0.421269420597073,0.4311871798136697,0.44167341304637214,0.46145859265209555,1485.0,1.0001762516105623
pf[84],0.46158660303115884,0.00035455318412160313,0.015129910635399256,0.4324272555744315,0.4514363735649756,0.4610710720259518,0.47207052564229723,0.49177550060846487,1821.0,1.0008673087550708
pf[85],0.38328161861553506,0.00023314386855883157,0.010143767944130605,0.36312122040720096,0.37651246903067415,0.3831562878545154,0.39001042783995304,0.4036316459149144,1893.0,1.0003622479110916
pf[86],0.3806756507040208,0.00021764661599899844,0.010490025018361937,0.3594699596743062,0.3736566403183219,0.38086576206281086,0.3877056548003286,0.4008599642497478,2323.0,1.0011755216754619
pf[87],0.41133338736561015,0.00033089842393389395,0.01317790250387477,0.3850649183864932,0.4027684852751059,0.411341375839105,0.41993139155892056,0.43741345050841257,1586.0,1.0028252351696647
pf[88],0.9927147561946631,0.0011670196037404672,0.04733268081169126,0.9095486425854742,0.9598946665007934,0.988835360070684,1.0218839897616805,1.09687912046702,1645.0,1.0018169952001719
pf[89],0.3791396560842639,0.00022765127536271445,0.01019359268680146,0.3598377962219279,0.3722996052111171,0.37899085864378373,0.3860787083700904,0.3993762783202426,2005.0,1.0017402915014468
pf[90],0.8030857507701089,0.0009736391955274654,0.04119310836402847,0.7236943580194315,0.7757898053549162,0.8017299659276598,0.8292897261773537,0.8881133674793037,1790.0,1.001483459978737
pf[91],0.37669987783181186,0.00022551576201379866,0.01013567289387645,0.35626213784584093,0.37007663637683397,0.3764124783739229,0.3836021479003482,0.3967265189838873,2020.0,1.0003237766838156
pf[92],0.5140920155568397,0.0005330022115650754,0.018949709124998264,0.47788174937054506,0.5016855449178363,0.5131657470737132,0.5260720898783604,0.5546783570159466,1264.0,1.0024593576484584
pf[93],0.47470583294577806,0.0003856161864554113,0.015871280177615358,0.4450326569442301,0.4636776431661507,0.4745473021849395,0.4855359937632955,0.5055636259627933,1694.0,1.0033207936761284
pf[94],0.4324211517499595,0.00038223944513014226,0.015455902892775543,0.4020537034072046,0.42172879679316133,0.4323698747442532,0.44247528984505224,0.46265254321888793,1635.0,1.0011503877005976
pf[95],0.47639376354828,0.0004818920247036113,0.01876906028304185,0.4415616701544603,0.4631850899348638,0.47618630620281927,0.4885375158891327,0.5146698958010139,1517.0,1.0017228382556023
pf[96],0.4935908198696158,0.0006026814136506944,0.02296524624284963,0.45057103506119833,0.47793959586106527,0.49329570375120685,0.5086063844227819,0.5402963596088404,1452.0,1.0012522612298915
pf[97],0.9248889212770951,0.0010694034194496031,0.04599678027896553,0.8429441933824932,0.8922342558325926,0.922495115796521,0.9546081812167972,1.0203563622694358,1850.0,1.0000048369279146
pf[98],0.40351899577452277,0.00032928470298101677,0.013782836578930454,0.3765761470513916,0.3941185373324647,0.4033202057851808,0.4125992284323091,0.43131797349623047,1752.0,1.0007087828001415
pf[99],0.37531038067713396,0.0003194828000495197,0.012839075283558488,0.3507876946096381,0.36674815393534976,0.37496751091458186,0.38392395537746227,0.4007806905398237,1615.0,1.0009654701317694
pf[100],0.5059551484717266,0.0009573799013153542,0.032011439766821234,0.45228002318351324,0.48394025962094234,0.5039646548919274,0.5246983322125218,0.575629600876787,1118.0,1.003442059502918
pf[101],0.5112696102187346,0.0005404159855020553,0.02116610112775534,0.47097319755874084,0.4966938810357616,0.51076412829356,0.5249829162622165,0.5537935895056592,1534.0,1.0002780867553316
pf[102],0.4685840535827481,0.00042904955372987866,0.01868213994910144,0.43279528922547883,0.4562955064111045,0.4683817422059954,0.48029900686943644,0.5067232716776354,1896.0,1.0044761477628228
pf[103],0.8757230228625973,0.0008480819214962999,0.03742146462957541,0.8044375244450912,0.8511119961117551,0.8745383711613612,0.8984385409027575,0.9535775521527377,1947.0,1.0007434188324227
pf[104],0.3578378086764767,0.000245155027897253,0.011153880246167116,0.3365693381494644,0.3501958861902449,0.35788031247079605,0.3651031372949667,0.38000429767926336,2070.0,1.001305731955794
pf[105],0.4701164890212832,0.000530863884509027,0.019727861937188597,0.43263800273784764,0.4570098763309202,0.46910555481541955,0.48260188666268483,0.5133619929515483,1381.0,1.00522312163134
pf[106],0.5067763046230157,0.000609525560088882,0.022618244391842027,0.46522976431037955,0.49097718900762566,0.5059716089188239,0.5207039833656577,0.5556006858982021,1377.0,1.0024019479820032
pf[107],0.4440253952194531,0.0004280075994179795,0.016426795612656923,0.4116278275836881,0.4332567635343072,0.44404303302382425,0.4548968738459117,0.4762298129279847,1473.0,1.0027891137570077
pf[108],0.3537630975964397,0.0002468541443567641,0.011171343324074932,0.3331875897569741,0.34621023206173807,0.3535347798416666,0.3613377211361881,0.37635208891232713,2048.0,1.0016085657523939
pf[109],0.4486554225254415,0.00035584651669853183,0.01566937317006401,0.41673375169306615,0.43872462034082615,0.448356103503487,0.4588633205274958,0.4799382014334964,1939.0,1.0013232701694286
pf[110],0.3606913029169588,0.00034524565353897114,0.01402819377845014,0.33454915414741326,0.35076139223148817,0.3606288817894825,0.3706425098058942,0.3879984463487661,1651.0,1.0014665501356514
pf[111],0.35231829811010607,0.00030650971037638635,0.012693351306170206,0.32800741791216714,0.343634065068019,0.35198593058589234,0.3608862123610205,0.3775514137227084,1715.0,1.0044362715953388
pf[112],0.4579206404506,0.00042026461038356953,0.016298466292330813,0.4263841561473054,0.44657087157798303,0.4578427321143427,0.4683603016027615,0.490731742956226,1504.0,1.0065013572346715
pf[113],0.3632515022669784,0.00036950067103566105,0.01428204937564392,0.3358856532623789,0.3533975995926205,0.3630968217243073,0.37299089886044057,0.39134306336372887,1494.0,1.00326921834282
pf[114],0.38469245840352345,0.00041634149604718995,0.01669004996453322,0.3527165251346941,0.3736631853233279,0.3843582770109264,0.3954793742028999,0.4195656541936362,1607.0,1.0014955663083869
pf[115],0.4071084876060017,0.000379477902532182,0.015112561560411113,0.37794082196544426,0.39664618381718686,0.40650074561725924,0.4170597610640261,0.43724159676369323,1586.0,1.0011940041462342
pf[116],0.3372192560542232,0.00023655717288929411,0.011260717776359579,0.3152137664012497,0.32998980797063077,0.3369338417583521,0.3444982108482603,0.3606343850142544,2266.0,1.0029512259219755
